statefp,placefp,city_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01,35536,Hollis Crossroads,,,,,2025-11-04
01,52320,Mount Olive,,,,,2025-11-04
01,09500,Brook Highland,,,,,2025-11-04
01,34490,Highland Lakes,,,,,2025-11-04
01,44160,Lookout Mountain,,,,,2025-11-04
01,09880,Broomtown,,,,,2025-11-04
01,12070,Carlisle-Rockledge,,,,,2025-11-04
01,20272,Delta,,,,,2025-11-04
01,23224,Egypt,,,,,2025-11-04
01,25864,Fayetteville,,,,,2025-11-04
01,28120,Fredonia,,,,,2025-11-04
01,10456,Bucks,,,,,2025-11-04
01,11488,Calvert,,,,,2025-11-04
01,08272,Bon Secour,,,,,2025-11-04
01,14968,Chunchula,,,,,2025-11-04
01,12112,Carlton,,,,,2025-11-04
01,14728,Choccolocco,,,,,2025-11-04
01,31000,Graham,,,,,2025-11-04
01,32584,Hackneyville,,,,,2025-11-04
01,35512,Hollins,,,,,2025-11-04
01,38032,Ivalee,,,,,2025-11-04
01,46600,Marbury,,,,,2025-11-04
01,48784,Millerville,,,,,2025-11-04
01,51469,Morrison Crossroads,,,,,2025-11-04
01,16080,Coats Bend,,,,,2025-11-04
01,21890,Dunnavant,,,,,2025-11-04
01,23880,Emerald Mountain,,,,,2025-11-04
01,20152,Deer Park,,,,,2025-11-04
01,16936,Concord,,,,,2025-11-04
01,34984,Hissop,,,,,2025-11-04
01,47848,Megargel,,,,,2025-11-04
01,17704,Cottondale,,,,,2025-11-04
01,22088,Eagle Point,,,,,2025-11-04
01,22504,East Point,,,,,2025-11-04
01,27088,Forestdale,,,,,2025-11-04
01,25216,Fairford,,,,,2025-11-04
01,32248,Gulfcrest,,,,,2025-11-04
01,23032,Edgewater,,,,,2025-11-04
01,28816,Gallant,,,,,2025-11-04
01,31024,Grand Bay,,,,,2025-11-04
01,31348,Grayson Valley,,,,,2025-11-04
01,27604,Fort Novosel,,,,,2025-11-04
01,33472,Harvest,,,,,2025-11-04
01,33808,Hazel Green,,,,,2025-11-04
01,48112,Meridianville,,,,,2025-11-04
01,33064,Hanover,,,,,2025-11-04
01,24280,Equality,,,,,2025-11-04
01,46192,Malcolm,,,,,2025-11-04
01,35704,Holt,,,,,2025-11-04
01,51216,Moores Mill,,,,,2025-11-04
01,36592,Huguley,,,,,2025-11-04
01,39064,Joppa,,,,,2025-11-04
01,40648,Ladonia,,,,,2025-11-04
01,35752,Holtville,,,,,2025-11-04
01,45040,McCalla,,,,,2025-11-04
01,45208,McDonald Chapel,,,,,2025-11-04
01,49072,Minor,,,,,2025-11-04
01,45316,Macedonia,,,,,2025-11-04
01,35130,Hobson,,,,,2025-11-04
01,42928,Lillian,,,,,2025-11-04
01,52680,Movico,,,,,2025-11-04
01,48616,Mignon,,,,,2025-11-04
01,53232,Nances Creek,,,,,2025-11-04
01,54312,New Market,,,,,2025-11-04
01,54582,New Union,,,,,2025-11-04
01,53208,Nanafalia,,,,,2025-11-04
01,47740,Meadowbrook,,,,,2025-11-04
01,57912,Panola,,,,,2025-11-04
01,58680,Pea Ridge,,,,,2025-11-04
01,54696,Nixburg,,,,,2025-11-04
01,59232,Peterman,,,,,2025-11-04
01,59016,Penton,,,,,2025-11-04
01,62952,Putnam,,,,,2025-11-04
01,63495,Ray,,,,,2025-11-04
01,63730,Redland,,,,,2025-11-04
01,60264,Pine Level,,,,,2025-11-04
01,57384,Our Town,,,,,2025-11-04
01,63912,Redstone Arsenal,,,,,2025-11-04
01,65784,Rockville,,,,,2025-11-04
01,69978,Shoal Creek,,,,,2025-11-04
01,67608,Saks,,,,,2025-11-04
01,69672,Shelby,,,,,2025-11-04
01,65412,Rock Creek,,,,,2025-11-04
01,70632,Sims Chapel,,,,,2025-11-04
01,72408,Spring Garden,,,,,2025-11-04
01,72720,Standing Rock,,,,,2025-11-04
01,72816,Stapleton,,,,,2025-11-04
01,67584,St. Stephens,,,,,2025-11-04
01,73152,Stewartville,,,,,2025-11-04
01,75768,Theodore,,,,,2025-11-04
01,76208,Tidmore Bend,,,,,2025-11-04
01,76320,Tillmans Corner,,,,,2025-11-04
01,78120,Uriah,,,,,2025-11-04
01,78312,Vandiver,,,,,2025-11-04
01,79032,Vinegar Bend,,,,,2025-11-04
01,73056,Sterrett,,,,,2025-11-04
01,81084,West End-Cobb Town,,,,,2025-11-04
01,80736,Weogufka,,,,,2025-11-04
01,64040,Reeltown,,,,,2025-11-04
01,81744,Whatley,,,,,2025-11-04
01,77580,Underwood-Petersville,,,,,2025-11-04
01,59064,Perdido,,,,,2025-11-04
01,61488,Point Clear,,,,,2025-11-04
01,82176,Whitesboro,,,,,2025-11-04
01,65592,Rock Mills,,,,,2025-11-04
01,64248,Remlap,,,,,2025-11-04
01,71201,Smoke Rise,,,,,2025-11-04
01,72672,Spruce Pine,,,,,2025-11-04
01,73272,Stockton,,,,,2025-11-04
01,76200,Tibbie,,,,,2025-11-04
01,82104,White Plains,,,,,2025-11-04
01,69180,Selmont-West Selmont,,,,,2025-11-04
